order_id,product_id,quantity,unit_price
1,47,3,13.91
2,16,2,119.4
2,7,3,170.18
2,42,2,192.27
2,43,2,28.96
3,45,1,117.42
3,15,2,224.88
3,13,3,236.29
4,23,1,86.35
4,9,1,28.35
4,5,3,364.33
4,48,2,145.41
5,43,2,28.96
6,45,2,117.42
6,3,2,329.4
7,1,2,379.41
7,24,2,173.9
7,36,2,307.01
7,16,1,119.4
8,1,2,379.41
8,25,1,188.91
9,16,3,119.4
9,50,1,91.19
10,26,3,147.83
10,3,2,329.4
11,6,3,19.81
11,34,1,65.03
12,47,2,13.91
12,10,2,53.9
12,47,3,13.91
13,47,3,13.91
13,33,1,70.16
13,34,3,65.03
13,37,1,316.69
14,6,1,19.81
14,3,1,329.4
15,29,3,212.45
15,4,3,149.45
15,2,3,262.12
15,35,3,171.57
16,30,1,293.13
17,43,3,28.96
18,17,1,218.57
19,32,2,51.64
19,5,2,364.33
19,44,2,260.62
19,50,1,91.19
20,5,3,364.33
20,10,2,53.9
21,40,3,319.77
21,9,1,28.35
21,31,1,245.54
22,45,1,117.42
23,30,2,293.13
23,30,1,293.13
23,36,1,307.01
24,19,2,45.71
25,25,1,188.91
25,14,1,390.62
25,38,1,139.35
26,9,3,28.35
26,41,3,336.79
26,18,1,126.85
27,32,2,51.64
27,2,1,262.12
27,1,2,379.41
27,44,2,260.62
28,27,2,318.78
28,25,2,188.91
29,49,2,51.25
29,26,1,147.83
29,13,3,236.29
30,5,2,364.33
30,25,3,188.91
30,5,2,364.33
31,7,1,170.18
31,43,2,28.96
31,41,1,336.79
32,13,2,236.29
32,28,1,37.33
32,49,3,51.25
33,47,1,13.91
33,4,3,149.45
34,42,2,192.27
34,32,1,51.64
35,27,2,318.78
35,19,2,45.71
35,17,3,218.57
35,48,3,145.41
36,20,2,257.37
36,36,3,307.01
37,5,1,364.33
37,33,2,70.16
38,49,2,51.25
38,28,1,37.33
38,36,1,307.01
39,36,1,307.01
39,21,1,43.49
39,24,2,173.9
40,25,2,188.91
40,48,3,145.41
40,14,2,390.62
40,18,2,126.85
41,37,2,316.69
41,9,3,28.35
41,33,3,70.16
42,16,2,119.4
42,26,3,147.83
42,29,2,212.45
43,28,3,37.33
44,1,1,379.41
44,26,3,147.83
44,30,2,293.13
44,16,1,119.4
45,47,3,13.91
46,1,1,379.41
47,9,3,28.35
47,17,3,218.57
47,41,2,336.79
48,20,3,257.37
49,15,3,224.88
49,1,1,379.41
49,35,2,171.57
50,31,3,245.54
50,16,3,119.4
51,4,1,149.45
51,13,2,236.29
51,44,3,260.62
52,43,2,28.96
52,24,1,173.9
53,46,2,355.38
53,24,3,173.9
53,26,1,147.83
54,14,2,390.62
55,30,1,293.13
55,17,2,218.57
56,15,2,224.88
56,27,3,318.78
57,4,1,149.45
57,2,3,262.12
57,10,2,53.9
57,4,3,149.45
58,46,2,355.38
58,47,1,13.91
58,6,1,19.81
58,22,1,227.93
59,3,2,329.4
59,43,3,28.96
59,25,2,188.91
59,22,2,227.93
60,18,1,126.85
61,25,2,188.91
61,50,2,91.19
62,13,2,236.29
62,35,2,171.57
62,13,2,236.29
62,24,3,173.9
63,16,3,119.4
63,50,2,91.19
63,3,2,329.4
63,3,2,329.4
64,48,1,145.41
64,39,2,239.78
65,17,3,218.57
66,20,1,257.37
66,47,3,13.91
66,41,1,336.79
67,46,2,355.38
67,50,2,91.19
67,17,2,218.57
67,32,1,51.64
68,45,1,117.42
68,39,1,239.78
68,21,2,43.49
69,33,1,70.16
70,5,3,364.33
70,3,2,329.4
70,36,3,307.01
70,21,1,43.49
71,40,1,319.77
71,14,1,390.62
71,27,2,318.78
72,9,2,28.35
72,30,3,293.13
73,50,2,91.19
74,24,2,173.9
74,48,2,145.41
74,13,2,236.29
75,10,2,53.9
75,38,1,139.35
76,16,3,119.4
76,34,1,65.03
76,42,1,192.27
77,1,2,379.41
78,19,1,45.71
79,5,2,364.33
79,33,1,70.16
80,7,3,170.18
81,3,2,329.4
81,22,1,227.93
82,39,3,239.78
83,27,3,318.78
83,24,1,173.9
83,40,2,319.77
84,36,2,307.01
84,5,2,364.33
84,7,2,170.18
84,43,3,28.96
85,42,1,192.27
86,19,3,45.71
86,20,2,257.37
86,4,2,149.45
86,48,3,145.41
87,50,2,91.19
88,14,1,390.62
88,28,1,37.33
88,28,1,37.33
88,6,2,19.81
89,9,1,28.35
89,4,3,149.45
90,37,3,316.69
91,23,2,86.35
91,11,3,254.1
92,32,1,51.64
92,20,1,257.37
92,3,2,329.4
92,21,1,43.49
93,46,3,355.38
94,40,2,319.77
94,40,1,319.77
95,3,2,329.4
95,34,1,65.03
96,16,3,119.4
96,13,1,236.29
97,8,2,40.83
97,39,2,239.78
97,36,3,307.01
98,20,3,257.37
98,16,2,119.4
98,25,3,188.91
98,24,2,173.9
99,1,3,379.41
100,49,3,51.25
100,50,2,91.19
100,12,2,379.35
100,26,1,147.83
101,24,1,173.9
101,29,3,212.45
101,33,3,70.16
101,3,1,329.4
102,50,3,91.19
102,33,1,70.16
102,4,3,149.45
103,5,3,364.33
104,9,2,28.35
104,19,1,45.71
105,40,2,319.77
105,11,2,254.1
105,40,2,319.77
106,14,3,390.62
106,17,3,218.57
106,33,1,70.16
106,21,2,43.49
107,11,3,254.1
107,18,3,126.85
107,21,2,43.49
107,11,2,254.1
108,29,3,212.45
108,34,3,65.03
108,45,1,117.42
109,48,2,145.41
109,17,2,218.57
109,24,3,173.9
109,10,2,53.9
110,12,3,379.35
110,48,1,145.41
111,41,3,336.79
111,43,2,28.96
111,47,1,13.91
112,19,3,45.71
112,41,2,336.79
113,9,2,28.35
114,2,1,262.12
115,7,3,170.18
115,23,3,86.35
115,15,2,224.88
116,14,2,390.62
116,40,2,319.77
117,46,1,355.38
117,29,1,212.45
118,26,2,147.83
118,1,1,379.41
118,42,3,192.27
119,39,3,239.78
119,47,2,13.91
119,16,1,119.4
119,1,1,379.41
120,12,1,379.35
120,11,1,254.1
120,50,1,91.19
120,1,3,379.41
121,27,1,318.78
121,34,3,65.03
122,40,1,319.77
122,33,2,70.16
122,5,2,364.33
122,41,1,336.79
123,25,2,188.91
124,12,1,379.35
124,7,2,170.18
124,15,3,224.88
124,3,1,329.4
125,18,3,126.85
126,19,3,45.71
126,14,1,390.62
126,33,1,70.16
127,11,3,254.1
127,21,1,43.49
128,25,3,188.91
128,45,3,117.42
129,2,2,262.12
130,14,2,390.62
130,40,3,319.77
130,5,3,364.33
131,8,1,40.83
132,45,1,117.42
132,2,1,262.12
133,45,1,117.42
134,13,3,236.29
134,43,1,28.96
134,49,3,51.25
135,14,1,390.62
135,3,1,329.4
136,31,1,245.54
136,9,1,28.35
136,49,3,51.25
137,28,2,37.33
137,2,2,262.12
137,17,2,218.57
138,19,3,45.71
138,48,1,145.41
138,27,1,318.78
138,28,3,37.33
139,46,1,355.38
139,35,3,171.57
139,14,3,390.62
139,6,3,19.81
140,34,1,65.03
141,32,1,51.64
141,32,3,51.64
141,12,2,379.35
142,37,1,316.69
142,19,1,45.71
142,45,1,117.42
143,32,3,51.64
144,23,1,86.35
144,26,2,147.83
144,48,1,145.41
145,14,2,390.62
145,17,2,218.57
145,35,3,171.57
146,30,1,293.13
146,35,3,171.57
147,23,3,86.35
148,43,3,28.96
148,48,2,145.41
148,11,2,254.1
148,29,3,212.45
149,9,2,28.35
149,30,3,293.13
150,18,2,126.85
150,49,3,51.25
151,16,3,119.4
151,21,3,43.49
152,21,1,43.49
152,17,3,218.57
153,13,2,236.29
154,28,2,37.33
154,13,1,236.29
154,41,1,336.79
155,3,1,329.4
155,26,2,147.83
155,45,1,117.42
155,33,3,70.16
156,17,3,218.57
156,48,2,145.41
157,15,3,224.88
157,47,3,13.91
157,50,3,91.19
157,45,3,117.42
158,30,2,293.13
159,27,1,318.78
160,28,2,37.33
160,30,1,293.13
160,40,2,319.77
161,42,2,192.27
161,50,1,91.19
162,17,3,218.57
163,34,2,65.03
163,7,3,170.18
164,33,1,70.16
164,41,2,336.79
164,34,2,65.03
164,27,3,318.78
165,26,3,147.83
165,49,1,51.25
166,17,2,218.57
167,5,2,364.33
168,38,2,139.35
168,7,1,170.18
168,20,3,257.37
169,30,1,293.13
169,11,1,254.1
169,50,1,91.19
169,41,1,336.79
170,10,2,53.9
170,43,3,28.96
171,50,2,91.19
171,23,1,86.35
172,28,3,37.33
172,12,2,379.35
172,1,3,379.41
173,21,2,43.49
173,32,2,51.64
173,40,3,319.77
174,20,2,257.37
174,4,1,149.45
175,41,3,336.79
175,1,3,379.41
175,1,1,379.41
176,39,1,239.78
176,38,1,139.35
176,15,1,224.88
177,14,2,390.62
177,35,1,171.57
178,43,3,28.96
179,45,1,117.42
179,34,1,65.03
179,48,2,145.41
179,43,1,28.96
180,15,1,224.88
180,31,2,245.54
180,36,1,307.01
180,31,2,245.54
181,32,1,51.64
181,35,3,171.57
182,30,3,293.13
182,37,2,316.69
182,43,2,28.96
183,44,1,260.62
183,12,3,379.35
183,24,3,173.9
183,42,1,192.27
184,7,3,170.18
184,31,2,245.54
184,49,1,51.25
185,41,1,336.79
185,22,1,227.93
185,43,2,28.96
185,22,2,227.93
186,19,2,45.71
186,22,2,227.93
187,19,2,45.71
187,32,2,51.64
187,22,3,227.93
188,42,2,192.27
188,8,2,40.83
189,9,3,28.35
189,41,1,336.79
189,3,2,329.4
190,26,2,147.83
191,31,3,245.54
191,50,3,91.19
192,40,1,319.77
192,41,3,336.79
192,45,3,117.42
192,39,3,239.78
193,41,1,336.79
193,7,3,170.18
193,12,1,379.35
193,27,1,318.78
194,20,3,257.37
