customer_id,country,segment
1,MX,consumer
2,CA,smb
3,GB,smb
4,US,consumer
5,GB,smb
6,DE,smb
7,CA,smb
8,DE,smb
9,GB,smb
10,GB,consumer
11,CA,consumer
12,CA,consumer
13,CA,enterprise
14,CA,consumer
15,GB,enterprise
16,CA,smb
17,MX,consumer
18,CA,smb
19,DE,smb
20,DE,enterprise
21,MX,consumer
22,DE,enterprise
23,US,smb
24,DE,smb
25,GB,smb
26,GB,consumer
27,GB,enterprise
28,GB,consumer
29,CA,consumer
30,CA,smb
31,CA,consumer
32,MX,enterprise
33,US,consumer
34,US,enterprise
35,CA,enterprise
36,US,smb
37,DE,consumer
38,US,consumer
39,DE,smb
40,CA,enterprise
41,MX,smb
42,DE,smb
43,GB,consumer
44,US,smb
45,GB,smb
46,GB,smb
47,US,consumer
48,US,enterprise
49,MX,enterprise
50,MX,smb
51,CA,enterprise
52,US,consumer
53,DE,smb
54,CA,enterprise
55,DE,consumer
56,DE,smb
57,US,enterprise
58,MX,enterprise
59,MX,consumer
60,MX,consumer
61,DE,enterprise
62,DE,smb
63,CA,enterprise
64,CA,consumer
65,GB,enterprise
66,CA,consumer
67,DE,smb
68,MX,enterprise
69,US,consumer
70,MX,smb
71,MX,consumer
72,DE,smb
73,GB,enterprise
74,MX,smb
75,US,consumer
76,US,consumer
77,GB,consumer
78,MX,consumer
79,GB,enterprise
80,DE,consumer
81,GB,enterprise
82,MX,enterprise
83,US,enterprise
84,US,smb
85,CA,smb
86,CA,smb
87,MX,consumer
88,GB,smb
89,GB,enterprise
90,US,enterprise
91,CA,consumer
92,CA,consumer
93,CA,enterprise
94,GB,enterprise
95,CA,enterprise
96,DE,smb
97,MX,consumer
98,DE,enterprise
99,CA,consumer
100,US,enterprise
101,US,enterprise
102,CA,smb
103,CA,consumer
104,US,smb
105,CA,smb
106,DE,consumer
107,DE,smb
108,MX,enterprise
109,GB,consumer
110,US,enterprise
111,MX,smb
112,DE,enterprise
113,GB,enterprise
114,CA,enterprise
115,CA,enterprise
116,DE,consumer
117,GB,consumer
118,DE,consumer
119,CA,consumer
120,CA,smb
121,DE,enterprise
122,US,enterprise
123,US,smb
124,DE,enterprise
125,DE,smb
126,US,enterprise
127,US,consumer
128,CA,smb
129,US,consumer
130,DE,smb
131,DE,consumer
132,US,smb
133,MX,enterprise
134,DE,enterprise
135,DE,consumer
136,MX,smb
137,DE,enterprise
138,GB,enterprise
139,CA,enterprise
140,DE,smb
141,DE,consumer
142,GB,consumer
143,GB,consumer
144,GB,smb
145,MX,consumer
146,CA,smb
147,US,consumer
148,MX,consumer
149,CA,enterprise
150,MX,consumer
151,MX,consumer
152,GB,consumer
153,US,smb
154,GB,consumer
155,CA,consumer
156,GB,enterprise
157,GB,smb
158,GB,consumer
159,MX,smb
160,US,enterprise
161,MX,consumer
162,MX,enterprise
163,GB,smb
164,US,smb
165,MX,enterprise
166,DE,smb
167,DE,consumer
168,US,consumer
169,US,consumer
170,MX,smb
171,US,consumer
172,MX,consumer
173,GB,enterprise
174,MX,smb
175,CA,enterprise
176,DE,enterprise
177,GB,enterprise
178,MX,consumer
179,MX,consumer
180,CA,smb
181,US,smb
182,US,enterprise
183,US,smb
184,US,enterprise
185,CA,consumer
186,MX,consumer
187,GB,consumer
188,MX,enterprise
189,GB,smb
190,DE,consumer
191,US,enterprise
192,CA,consumer
193,CA,smb
194,US,consumer
195,CA,smb
196,MX,enterprise
197,CA,smb
198,GB,enterprise
199,CA,smb
200,MX,consumer
