product_id,product_name,raw_description
P001,Wireless Noise-Cancelling Headphones,"Premium over-ear headphones with 30h battery, ANC, and USB-C charging."
P002,Mechanical Keyboard,"TKL layout, Cherry MX Red switches, RGB backlighting, aluminum frame."
P003,4K Monitor 27-inch,"IPS panel, 144Hz, HDR400, 1ms response, USB-C hub, height adjustable."
P004,Laptop Stand,"Adjustable aluminum stand, 6 angles, foldable, compatible with 10-17in laptops."
P005,USB-C Hub 7-in-1,"4K HDMI, 100W PD, 2x USB-A 3.0, SD/microSD, compatible with Mac and PC."
P006,Webcam 1080p,"Full HD 30fps, built-in stereo mic, privacy shutter, plug-and-play USB."
P007,Desk Lamp LED,"Touch dimmer, 5 color temps, USB-A charging port, flexible arm, timer."
P008,Ergonomic Chair,"Lumbar support, adjustable armrests, breathable mesh, 300lb capacity."
P009,External SSD 1TB,"USB 3.2 Gen2, 1050MB/s read, aluminum shell, IP55 rated, 3yr warranty."
P010,Smart Speaker,"360 audio, voice assistant, multi-room, touch controls, 3.5mm aux out."
P011,Phone Stand,"Adjustable angle, magnetic, MagSafe compatible, desk and car mount."
P012,Drawing Tablet,"8192 pressure levels, 10x6 in, 8 express keys, tilt support, Windows/Mac."
