id,product_type,review_text
1,laptop,"Absolutely love this laptop. Fast, lightweight, great battery."
2,laptop,"Terrible. Overheats after 20 minutes and the keyboard is mushy."
3,phone,"Decent phone for the price. Camera is okay, nothing special."
4,phone,Best smartphone I have ever owned. Worth every penny.
5,tablet,Returned it immediately. Screen had dead pixels out of the box.
6,tablet,Perfect for reading and light work. Battery lasts all day.
7,laptop,"Not bad. A bit slow for video editing but fine for browsing."
8,phone,Stopped working after two weeks. Horrible quality control.
9,tablet,Solid build quality. Kids love it. Highly recommend.
10,laptop,Meh.
