id,headline_text
1,Central bank raises interest rates for the third time this year
2,Scientists discover new exoplanet in the habitable zone
3,Local football team wins championship after 20-year drought
4,Tech giant announces layoffs affecting 12,000 employees
5,Tropical storm strengthens to category 4 hurricane overnight
6,New vaccine shows 94% efficacy against seasonal flu variants
7,Electric vehicle sales surpass petrol cars for first time in Europe
8,Supreme Court rules on landmark data privacy case
9,"Wildfires consume 200,000 acres across three western states"
10,Astronomers detect repeating radio signal from distant galaxy
