order_id,customer_id,order_date,channel
1,65,2026-01-05,web
2,142,2026-01-25,in_store
3,140,2026-02-20,in_store
4,187,2026-03-23,web
5,111,2026-01-21,web
6,130,2026-03-27,mobile
7,48,2026-01-21,mobile
8,80,2026-01-28,mobile
9,122,2026-02-05,in_store
10,24,2026-02-03,web
11,6,2026-02-08,mobile
12,169,2026-03-18,mobile
13,165,2026-01-19,web
14,176,2026-03-16,in_store
15,164,2026-02-16,web
16,63,2026-03-04,mobile
17,192,2026-03-06,in_store
18,17,2026-03-02,mobile
19,187,2026-01-27,web
20,158,2026-03-22,in_store
21,66,2026-03-25,in_store
22,125,2026-02-04,in_store
23,173,2026-03-04,mobile
24,80,2026-01-11,mobile
25,20,2026-03-06,mobile
26,37,2026-03-09,mobile
27,181,2026-02-16,web
28,104,2026-02-08,in_store
29,31,2026-02-12,web
30,4,2026-02-07,mobile
31,110,2026-02-05,web
32,64,2026-02-04,mobile
33,103,2026-03-12,in_store
34,106,2026-02-27,in_store
35,141,2026-01-17,web
36,67,2026-02-21,in_store
37,101,2026-01-16,web
38,141,2026-01-29,mobile
39,63,2026-01-12,web
40,146,2026-01-26,web
41,193,2026-01-08,mobile
42,162,2026-01-28,web
43,80,2026-01-03,web
44,196,2026-03-02,in_store
45,58,2026-01-20,web
46,166,2026-02-28,web
47,60,2026-03-14,web
48,179,2026-01-15,web
49,150,2026-01-25,mobile
50,118,2026-02-05,mobile
51,64,2026-01-04,mobile
52,108,2026-01-11,mobile
53,127,2026-01-05,in_store
54,2,2026-02-07,in_store
55,52,2026-02-09,web
56,28,2026-03-21,mobile
57,15,2026-03-18,web
58,16,2026-01-24,mobile
59,48,2026-03-25,in_store
60,44,2026-01-14,web
61,90,2026-02-23,web
62,111,2026-01-12,web
63,122,2026-01-04,in_store
64,17,2026-01-08,mobile
65,93,2026-02-04,mobile
66,184,2026-03-30,mobile
67,7,2026-01-30,web
68,128,2026-01-24,web
69,118,2026-02-16,in_store
70,101,2026-01-21,web
71,110,2026-01-14,web
72,182,2026-02-27,web
73,173,2026-01-31,in_store
74,76,2026-02-05,in_store
75,64,2026-01-24,web
76,84,2026-01-09,mobile
77,168,2026-03-01,web
78,60,2026-02-27,mobile
79,31,2026-01-07,web
80,115,2026-03-19,mobile
81,153,2026-03-21,mobile
82,12,2026-01-27,mobile
83,167,2026-01-27,web
84,20,2026-01-27,web
85,40,2026-03-23,in_store
86,102,2026-03-31,mobile
87,92,2026-02-23,mobile
88,165,2026-01-26,mobile
89,148,2026-02-16,mobile
90,37,2026-03-24,mobile
91,95,2026-03-06,web
92,44,2026-01-09,web
93,156,2026-03-23,mobile
94,177,2026-01-21,in_store
95,122,2026-01-24,in_store
96,99,2026-02-15,web
97,144,2026-03-28,web
98,200,2026-02-09,in_store
99,129,2026-02-26,web
100,126,2026-03-01,web
101,18,2026-01-17,mobile
102,163,2026-01-17,web
103,97,2026-03-25,web
104,188,2026-03-30,web
105,176,2026-01-29,web
106,117,2026-01-19,mobile
107,10,2026-01-26,web
108,30,2026-03-09,web
109,65,2026-03-10,in_store
110,85,2026-01-11,mobile
111,76,2026-03-08,mobile
112,192,2026-01-05,web
113,107,2026-03-07,mobile
114,59,2026-03-20,in_store
115,1,2026-03-14,mobile
116,150,2026-02-08,in_store
117,41,2026-01-18,web
118,17,2026-03-23,web
119,90,2026-03-18,in_store
120,16,2026-03-10,web
121,142,2026-03-26,web
122,165,2026-03-06,in_store
123,186,2026-03-03,in_store
124,191,2026-03-01,web
125,86,2026-03-30,mobile
126,142,2026-03-28,mobile
127,44,2026-02-03,web
128,100,2026-02-12,in_store
129,138,2026-03-02,mobile
130,186,2026-01-30,in_store
131,44,2026-01-19,web
132,160,2026-01-21,mobile
133,36,2026-03-30,in_store
134,189,2026-01-06,web
135,99,2026-01-14,web
136,193,2026-03-23,web
137,53,2026-02-07,mobile
138,13,2026-02-17,mobile
139,198,2026-01-13,mobile
140,74,2026-01-22,mobile
141,74,2026-01-07,web
142,152,2026-02-14,in_store
143,128,2026-01-22,web
144,144,2026-01-14,in_store
145,109,2026-03-24,web
146,44,2026-02-18,in_store
147,194,2026-03-30,in_store
148,84,2026-03-08,web
149,198,2026-02-02,in_store
150,179,2026-01-31,in_store
151,159,2026-01-20,in_store
152,134,2026-02-14,web
153,27,2026-01-22,in_store
154,39,2026-01-19,mobile
155,72,2026-01-27,mobile
156,76,2026-03-01,web
157,2,2026-02-01,mobile
158,59,2026-03-28,web
159,81,2026-02-03,in_store
160,103,2026-03-22,web
161,133,2026-03-28,in_store
