id,product_category,review_text
1,Electronics,Fantastic headphones. Sound quality is extraordinary and ANC works perfectly.
2,Electronics,Stopped charging after one week. Absolute garbage. Avoid at all costs.
3,Electronics,"Decent webcam but setup was a nightmare. Works okay once running."
4,Furniture,Chair arrived damaged. Customer service replaced it promptly though.
5,Furniture,"Best desk I've ever owned. Solid oak, easy assembly, looks stunning."
6,Furniture,"Wobbles on uneven floors but otherwise comfortable enough for the price."
7,Clothing,"Perfect fit and beautiful fabric. Ordered two more in different colours."
8,Clothing,"Sizes run very small. The medium fit like an extra-small. Disappointed."
9,Clothing,Good quality stitching, nothing special. Fine for the price point.
10,Electronics,Keyboard feels premium. Typing on it is a genuine pleasure every day.
11,Electronics,Monitor has bright spot in the top-left corner. Returning immediately.
12,Furniture,Standing desk converter is life-changing. Back pain gone after two weeks.
13,Clothing,Colour faded after first wash. Extremely poor quality for the price paid.
14,Electronics,Solid SSD. Speeds are exactly as advertised. No complaints whatsoever.
15,Furniture,"Takes two people to assemble and instructions are terrible. Result is okay."
16,Clothing,Incredibly soft material. My new favourite hoodie without any doubt.
17,Electronics,Okay battery life but the camera is genuinely outstanding for the price.
18,Furniture,Returned. The wood veneer started peeling after exactly three days of use.
